icnm,service-date,address,type
통도사,2011-12-27,경상남도 양산시 하북면 경부고속도로 31(순지리),휴게소
양촌,2012-07-25,충청남도 논산시 양촌면 황산벌로 784번길 93-10,본선연결
삼성,2016-12-20,충청북도 음성군 삼성면 중부고속도로 52-1,휴게소
남양평,2016-12-21,경기도 양평군 강상면 지례1길 43-46,휴게소
동둔내,2016-12-21,강원도 횡성군 둔내면 청태산로 486,본선연결
옥산,2016-12-26,충청북도 청주시 흥덕구 옥산면 경부고속도로 310 ,휴게소
구병산,2017-12-28,충청북도 보은군 마로면 적암길 56-17,휴게소
신둔,2017-12-20,경기도 이천시 신둔면 서이천로853번길 346-129,휴게소
김해가야,2018-02-07,경상남도 김해시 대동면 동남로 400,휴게소
유천,2018-03-29,대구광역시 달성군 화원읍 구라리 1118-8,본선연결
북현풍,2018-05-30,대구광역시 달성군 현풍읍 성하리 270-17,휴게소
임고,2018-12-27,경상북도 영천시 임고면 포은로 1051-11,본선연결
중앙탑,2019-12-30,충청북도 충주시 중앙탑면 중부내륙고속도로 231,휴게소
서함양,2020-10-19,경상남도 함양군 병곡면 월암리 26-8,본선연결
북구미,2021-12-01,경상북도 구미시 부곡동 96-4,본선연결
불갑산,2021-12-29,전라남도 영광군 군서면 보라리 79-1,본선연결
