sta.nm,highpass.ic,icnm
강릉휴게소(강릉),,
강릉휴게소(인천),,
강천산휴게소(광주),,
강천산휴게소(대구),,
거창휴게소(고서),,
거창휴게소(대구),,
건천휴게소(부산),,
건천휴게소(서울),,
경산휴게소(서울),,
경주휴게소(부산),,
고성휴게소(통영),,
고성휴게소(하남),,
고창고인돌휴게소(목포),,
고창고인돌휴게소(서울),,
곡성휴게소(순천),,
곡성휴게소(천안),,
공주휴게소(당진),,
공주휴게소(대전),,
관촌휴게소(광양),,
괴산휴게소(내서),,
괴산휴게소(양평),,
구리휴게소(퇴계원),,
구정휴게소(동해),,
구정휴게소(주문진),,
군산휴게소(목포),,
군산휴게소(서울),,
군위휴게소(부산),,
군위휴게소(춘천),,
금왕휴게소(제천),,
금왕휴게소(평택),,
기흥휴게소(부산),,
김천휴게소(부산),,
김천휴게소(서울),,
남성주휴게소(김천),,
남성주휴게소(마산),,
남원휴게소(대구),,
단양휴게소(부산),,
단양휴게소(춘천),,
대천휴게소(목포),,
대천휴게소(서울),,
덕유산휴게소(통영),,
덕유산휴게소(하남),,
덕평휴게소(인천),,
동명휴게소(부산),,
동명휴게소(춘천),,
동해휴게소(삼척),,
마이산휴게소(익산),,
마이산휴게소(장수),,
만남의광장,,
망향휴게소(부산),,
매송휴게소(목포),,
매송휴게소(서울),,
면천임시휴게소,,
목감휴게소(서울),,
문경휴게소(내서),,
문경휴게소(양평),,
문막휴게소(강릉),,
문막휴게소(인천),,
문산휴게소(순천),,
백양사휴게소(순천),,
백양사휴게소(천안),,
벌곡휴게소(논산),,
벌곡휴게소(회덕),,
보성녹차휴게소(광양),,
보성녹차휴게소(무안),,
부여휴게소(동서천),,
부여휴게소(서공주),,
사천휴게소(부산),,
사천휴게소(순천),,
산청휴게소(통영),,
산청휴게소(하남),,
서산휴게소(목포),,
서산휴게소(서울),,
서여주휴게소(강릉),,
서여주휴게소(인천),,
서천휴게소(목포),,
서천휴게소(서울),,
선산휴게소(내서),,
선산휴게소(양평),,
섬진강휴게소(부산),,
섬진강휴게소(순천),,
성주휴게소(마산),,
성주휴게소(양평),,
속리산휴게소,1,구병산
순천휴게소(순천),,
시흥하늘휴게소(구리),,
시흥하늘휴게소(일산),,
신탄진휴게소(서울),,
신풍휴게소(당진),,
신풍휴게소(대전),,
안동휴게소(부산),,
안동휴게소(춘천),,
안성맞춤휴게소(안성),,
안성맞춤휴게소(음성),,
안성휴게소(부산),,
안성휴게소(서울),,
양산휴게소(서울),,
언양휴게소(서울),,
여산휴게소(순천),,
여산휴게소(천안),,
여주휴게소(강릉),,
여주휴게소(인천),,
영산휴게소(내서),,
영천휴게소(대구),,
영천휴게소(포항),,
예산휴게소(당진),,
예산휴게소(대전),,
오수휴게소(순천),,
오수휴게소(완주),,
오창휴게소(통영),,
오창휴게소(하남),,
옥계휴게소(속초),,
옥산휴게소(부산),,
옥천휴게소(부산),,
옥천휴게소(서울),,
와촌휴게소,,
외동휴게소(울산),,
외동휴게소(포항),,
용인휴게소(강릉),,
용인휴게소(인천),,
원주휴게소(부산),,
원주휴게소(춘천),,
의성휴게소(영덕),,
의성휴게소(청주),,
이서휴게소(순천),,
이서휴게소(천안),,
이천휴게소(통영),,
이천휴게소(하남),1,신둔
인삼랜드휴게소(통영),,
인삼랜드휴게소(하남),,
입장휴게소(서울),,
정읍휴게소(순천),,
정읍휴게소(천안),,
주암휴게소(순천),,
주암휴게소(천안),,
죽암휴게소(부산),,
죽암휴게소(서울),,
죽전휴게소,,
지리산휴게소(고서),,
지리산휴게소(대구),,
진영휴게소(부산),,
진영휴게소(순천),,
천등산휴게소(제천),,
천안(삼)휴게소(서울),,
천안휴게소(부산),,
청송휴게소(영덕),,
청송휴게소(청주),,
청양휴게소(동서천),,
청양휴게소(서공주),,
청주휴게소(서울),1,옥산
청통휴게소,,
춘천휴게소(부산),,
충주휴게소(내서),1,중앙탑
충주휴게소(양평),1,중앙탑
치악휴게소(부산),,
치악휴게소(춘천),,
칠곡휴게소(부산),,
칠곡휴게소(서울),,
칠서휴게소(양평),,
통도사휴게소(부산),1,통도사
평사휴게소(부산),,
평창휴게소(강릉),,
평창휴게소(인천),,
함양산삼골휴게소(고서),,
함양산삼골휴게소(대구),,
함양휴게소(통영),,
함양휴게소(하남),,
함평나비휴게소(광주),,
함평나비휴게소(무안),,
함평휴게소(목포),,
함평휴게소(서울),,
행담도휴게소(목포),,
현풍휴게소(대구),1,북현풍
현풍휴게소(현풍),1,북현풍
홍성휴게소(무안),,
홍성휴게소(서울),,
홍천강휴게소,,
홍천휴게소(서울),,
홍천휴게소(양양),,
화서휴게소,,
화성휴게소(목포),,
화성휴게소(서울),,
황간휴게소(부산),,
황간휴게소(서울),,
횡성휴게소(강릉),,
횡성휴게소(인천),,
